iter	RMSE
0	0.8853674738
1	0.8735206591
2	0.8620280306
3	0.8507703924
4	0.8397161478
5	0.8290427821
6	0.8184810732
7	0.8082763412
8	0.7984293993
9	0.7887364305
10	0.7792491498
11	0.7699363665
12	0.7608144579
13	0.7521897717
14	0.7436563741
15	0.7351983518
16	0.727133389
17	0.7191311657
18	0.7114615999
19	0.7041462345
20	0.6968641997
21	0.6898035877
22	0.6829613591
23	0.6763642245
24	0.6697831352
25	0.6635221809
26	0.6573385812
27	0.6512489047
28	0.6453896604
29	0.639675009
30	0.6340319558
31	0.6287472716
32	0.6235116296
33	0.6183902954
34	0.6135984255
35	0.6088459632
36	0.6041974989
37	0.5996420931
38	0.5951464638
39	0.5908367325
40	0.5867855732
41	0.5827129607
42	0.5786514001
43	0.5747947721
44	0.5711032988
45	0.5673636363
46	0.5638806207
47	0.5602319583
48	0.5569533529
49	0.5537591022
50	0.5504594601
51	0.5474239981
52	0.5443011984
53	0.5412460169
54	0.5385339876
55	0.5356276449
56	0.5330065555
57	0.5303601757
58	0.5278185815
59	0.525304472
60	0.5229305117
61	0.5206640516
62	0.5182338189
63	0.5161041227
64	0.5140255961
65	0.5119703976
66	0.5100494719
67	0.5080779823
68	0.5062198002
69	0.5044365853
70	0.5025462724
71	0.5008634221
72	0.4990970036
73	0.4974274001
74	0.4958934146
75	0.4943162743
76	0.4928398987
77	0.4914034616
78	0.4898262445
79	0.4883630977
80	0.4870943058
81	0.4858204077
82	0.4845182074
83	0.4833046926
84	0.4818987434
85	0.4805183138
86	0.4793897644
87	0.4781860609
88	0.4771035565
89	0.4759941909
90	0.4750444994
91	0.4739847743
92	0.4730101828
93	0.4719414309
94	0.4710408831
95	0.4701902944
96	0.4692048162
97	0.4683840244
98	0.4673727887
99	0.4665694387
100	0.4657010666
101	0.4649619417
102	0.4642860749
103	0.4635001548
104	0.4627793002
105	0.4620008298
106	0.4613597572
107	0.460727237
108	0.4600730641
109	0.4594477586
110	0.4589196151
111	0.4581727408
112	0.4575963292
113	0.4570816161
114	0.4564072208
115	0.45586186
116	0.4553985495
117	0.4549260156
118	0.4542965868
119	0.4537848464
120	0.4532173459
121	0.4527973429
122	0.4522002205
123	0.4516343491
124	0.4512181537
125	0.4508311621
126	0.45036615
